job,status,customer,order_date,part_number,description,rev,order_quantity,unit_price,total_price,net_shipped,order_unit,price_uom,sales_rep,customer_line2,job_revision
20-058,Complete,NUTRIEN,2020-03-24T00:00:00,DEHYDRATION REFLUX VESSEL,DEHYDRATION REFLUX VESSEL,,1,31350.00,31350.00,1,ea,ea,,2101132199,
20-059,Complete,FLOQENGI,2020-03-26T00:00:00,R-808 2205 REACTOR,r-808 2205 REACTOR,,1,160900.00,160900.00,1,ea,ea,,4500061780,
20-060,Complete,S&STECHN,2020-04-21T00:00:00,"8,000 GAL SST API TANK","8,000 GAL SST API TANK",,1,7500.00,7500.00,0,ea,ea,,C4230420SA1,
20-061,Complete,MILLIKEN,2020-04-28T00:00:00,60 GAL VACUUM KNOCKOUT TANK,60 GAL VACUUM KNOCKOUT TANK,,1,25775.00,25775.00,1,ea,ea,,6701202490,
20-062,Complete,MILLIKEN,2020-04-28T00:00:00,700 GAL VOL FLASH TANK,700 GAL VOL FLASH TANK,,1,223975.00,223975.00,1,ea,ea,,6701202490,
20-063,Complete,YATECONS,2020-05-11T00:00:00,ADD'L GASKETS FOR MANWAYS,ADD'L GASKETS FOR MANWAYS,,1,2275.00,2275.00,0,ea,ea,,2091000012,
20-064,Complete,PYEBARKE,2020-05-15T00:00:00,RECERTIFY TANK,RECERTIFY TANK,,1,1850.00,1850.00,2,ea,ea,,VERBAL,
20-065,Complete,ANDRITZI,2020-05-15T00:00:00,WHITE LIQUOR FILTRATE TANK,WHITE LIQUOR FILTRATE TANK,,1,46125.00,46125.00,0,ea,ea,,4502889639,
20-066,Complete,GAF11111,2020-05-20T00:00:00,SST SKI PLATE,SST SKI PLATE,,1,350.00,350.00,0,ea,ea,,299278,
20-067,Complete,NUTRIEN,2020-05-20T00:00:00,CONDENSATE FLASH TANK,CONDENSATE FLASH TANK,,1,87725.00,87725.00,1,ea,ea,,2101135634,
20-068,Complete,NUTRIEN,2020-05-20T00:00:00,CONDENSATE FLASH TANK,CONDENSATE FLASH TANK,,1,87725.00,87725.00,1,ea,ea,,2101135634,
20-069,Complete,HARPLOVE,2020-06-02T00:00:00,(12) BETTS MANWAY BOLT ASSEMBL,(12) BETTS MANWAY BOLT ASSEMBL,,1,850.00,850.00,0,ea,ea,,47986,
20-070,Complete,S&STECHN,2020-06-11T00:00:00,SUCTION SCRUBBER,SUCTION SCRUBBER,,1,13650.00,13650.00,1,ea,ea,,C1260610SA1,
20-071,Complete,S&STECHN,2020-06-11T00:00:00,INTERSTAGE SCRUBBER,INTERSTAGE SCRUBBER,,1,11150.00,11150.00,1,ea,ea,,C1260610SA1,
20-072,Complete,SAVATANK,2020-06-25T00:00:00,DEMONSTRATION CODE JOB,DEMONSTRATION CODE JOB,,1,0.00,0.00,0,ea,ea,,,
20-073,Complete,SYMRISE,2020-06-30T00:00:00,ALLOY 20 PHASE SEPARATOR DRUM,ALLOY 20 PHASE SEPARATOR DRUM,,1,119950.00,119950.00,1,ea,ea,,186/4501308655,
20-074,Complete,ANDRITZI,2020-07-28T00:00:00,PRECIPITATOR MIX TANK,PRECIPITATOR MIX TANK,,1,120300.00,120300.00,1,ea,ea,,4502924980,
20-075,Complete,S&STECHN,2020-07-09T00:00:00,25 GAL CST ASME TANK,25 GAL CST ASME TANK,,1,10950.00,10950.00,1,ea,ea,,C2940709SA1,
